radix,infinitve,1.pers-singular-präsens,2.pers-singular-präsens,3.pers-singular-präsens,1.pers-singular-präteritum,partizip 2,1.pers-konjunktiv 2,imperativ-singular,imperativ-plural,hilfsverb
hinsetz,hinsetzen,setze hin,setzt hin,setzt hin,setzte hin,hingesetzt,setzte hin,setz hin,setzt hin,haben
herunternehm,herunternehmen,nehme herunter,nimmst herunter,nimmt herunter,nahm herunter,heruntergenommen,nähme herunter,nimm herunter,nehmt herunter,haben
hinhalt,hinhalten,halte hin,hältst hin,hält hin,hielt hin,hingehalten,hielte hin,halt hin,haltet hin,haben
rekrutier,rekrutieren,rekrutiere,rekrutierst,rekrutiert,rekrutierte,rekrutiert,rekrutierte,rekrutiere,rekrutiert,haben
bezwing,bezwingen,bezwinge,bezwingst,bezwingt,bezwang,bezwungen,bezwänge,bezwinge,bezwingt,haben
beanspruch,beanspruchen,beanspruche,beanspruchst,beansprucht,beanspruchte,beansprucht,beanspruchte,beanspruche,beansprucht,haben
neig,neigen,neige,neigst,neigt,neigte,geneigt,neigte,neig,neigt,haben
benachrichtig,benachrichtigen,benachrichtige,benachrichtigst,benachrichtigt,benachrichtigte,benachrichtigt,benachrichtigte,benachrichtige,benachrichtigt,haben
kennenlern,kennenlernen,lerne kennen,lernst kennen,lernt kennen,lernte kennen,kennengelernt,lernte kennen,lerne kennen,lernt kennen,haben
grummel,grummeln,grummle,grummelst,grummelt,grummelte,gegrummelt,grummelte,grummle,grummelt,haben
umgeb,umgeben,gebe um,gibst um,gibt um,gab um,umgegeben,gäbe um,gib um,gebt um,haben
betrag,betragen,betrage,beträgst,beträgt,betrug,betragen,betrüge,betrage,betragt,haben
abschreib,abschreiben,schreibe ab,schreibst ab,schreibt ab,schrieb ab,abgeschrieben,schriebe ab,schreib ab,schreibt ab,haben
gelob,geloben,gelobe,gelobst,gelobt,gelobte,gelobt,gelobte,gelob,gelobt,haben
sinn,sinnen,sinne,sinnst,sinnt,sann,gesonnen,sänne,sinne,sinnt,haben
vorherrsch,vorherrschen,herrsche vor,herrschst vor,herrscht vor,herrschte vor,vorgeherrscht,herrschte vor,herrsch vor,herrscht vor,haben
kulminier,kulminieren,kulminiere,kulminierst,kulminiert,kulminierte,kulminiert,kulminierte,kulminiere,kulminiert,haben
dezimier,dezimieren,dezimiere,dezimierst,dezimiert,dezimierte,dezimiert,dezimierte,dezimiere,dezimiert,sein
schlender,schlendern,schlendere,schlenderst,schlendert,schlenderte,geschlendert,schlenderte,schlender,schlendert,sein
abkratz,abkratzen,kratze ab,kratzt ab,kratzt ab,kratzte ab,abgekratzt,kratzte ab,kratz ab,kratzt ab,haben
brüt,brüten,brüte,brütest,brütet,brütete,gebrütet,brütete,brüte,brütet,haben
zerbeul,zerbeulen,zerbeule,zerbeulst,zerbeult,zerbeulte,zerbeult,zerbeulte,zerbeule,zerbeult,haben
scroll,scrollen,scrolle,scrollst,scrollt,scrollte,gescrollt,scrollte,scroll,scrollt,haben
veräußer,veräußern,veräußere,veräußerst,veräußert,veräußerte,veräußert,veräußerte,veräußere,veräußert,haben
witter,wittern,wittere,witterst,wittert,witterte,gewittert,witterte,wittere,wittert,haben
aufreib,aufreiben,reibe auf,reibst auf,reibt auf,rieb auf,aufgerieben,riebe auf,reibe auf,reibt auf,haben
behelf,behelfen,behelfe,behilfst,behilft,behalf,beholfen,behülfe,behilf,behelft,haben
schrill,schrillen,schrille,schrillst,schrillt,schrillte,geschrillt,schrillte,schrille,schrillt,haben
zapp,zappen,zappe,zappst,zappt,zappte,gezappt,zappte,zappe,zappt,haben
zurückbild,zurückbilden,bilde zurück,bildest zurück,bildet zurück,bildete zurück,zurückgebildet,bildete zurück,bilde zurück,bildet zurück,haben
folter,foltern,foltere,folterst,foltert,folterte,gefoltert,folterte,foltere,foltert,haben
pars,parsen,parse,parst,parst,parste,geparst,parste,pars,parst,haben
erkält,erkälten,erkälte,erkältest,erkältet,erkältete,erkältet,erkältete,erkälte,erkältet,haben
debridier,debridieren,debridiere,debridierst,debridiert,debridierte,debridiert,debridierte,debridier,debridiert,haben
erklimm,erklimmen,erklimme,erklimmst,erklimmt,erklomm,erklommen,erklömme,erklimme,erklimmt,haben
scheiter,scheitern,scheitere,scheiterst,scheitert,scheiterte,gescheitert,scheiterte,scheitere,scheitert,sein
schluder,schludern,schludere,schluderst,schludert,schluderte,geschludert,schluderte,schluder,schludert,haben
evaporisier,evaporisieren,evaporisiere,evaporisierst,evaporisiert,evaporisierte,evaporisiert,evaporisierte,evaporisier,evaporisiert,haben
bezichtig,bezichtigen,bezichtige,bezichtigst,bezichtigt,bezichtigte,bezichtigt,bezichtigte,bezichtige,bezichtigt,haben
blitz,blitzen,blitze,blitzt,blitzt,blitzte,geblitzt,blitzte,blitze,blitzt,haben
verspiel,verspielen,verspiele,verspielst,verspielt,verspielte,verspielt,verspielte,verspiel,verspielt,haben
elizitier,elizitieren,elizitiere,elizitierst,elizitiert,elizitierte,elizitiert,elizitierte,elizitiere,elizitiert,haben
jät,jäten,jäte,jätest,jätet,jätete,gejätet,jätete,jäte,jätet,haben
abängstig,abängstigen,ängstige ab,ängstigst ab,ängstigt ab,ängstigte ab,abgeängstigt,ängstigte ab,ängstige ab,ängstigt ab,haben
ängstig,ängstigen,ängstige,ängstigst,ängstigt,ängstigte,geängstigt,ängstigte,ängstige,ängstigt,haben
abäs,abäsen,—,—,äst ab,äste ab,abgeäst,äste ab,—,—,haben
traktandier,traktandieren,traktandiere,traktandierst,traktandiert,traktandierte,traktandiert,traktandierte,traktandier,traktandiert,haben
abatm,abatmen,atme ab,atmest ab,atmet ab,atmete ab,abgeatmet,atmete ab,atme ab,atmet ab,haben
verwirklich,verwirklichen,verwirkliche,verwirklichst,verwirklicht,verwirklichte,verwirklicht,verwirklichte,verwirklich,verwirklicht,haben
order,ordern,ordere,orderst,ordert,orderte,geordert,orderte,ordere,ordert,haben
quadrätel,quadräteln,quadrätele,quadrätelst,quadrätelt,quadrätelte,quadrätelt,quadrätelte,quadrätle,quadrätelt,haben
karessier,karessieren,karessiere,karessierst,karessiert,karessierte,karessiert,karessierte,karessiere,karessiert,haben
anlock,anlocken,locke an,lockst an,lockt an,lockte an,angelockt,lockte an,lock an,lockt an,haben
verhohnepipel,verhohnepipeln,verhohnepiple,verhohnepipelst,verhohnepipelt,verhohnepipelte,verhohnepipelt,verhohnepipelte,verhohnepiple,verhohnepipelt,haben
abätz,abätzen,ätze ab,ätzt ab,ätzt ab,ätzte ab,abgeätzt,ätzte ab,ätz ab,ätzt ab,haben
parkier,parkieren,parkiere,parkierst,parkiert,parkierte,parkiert,parkierte,parkiere,parkiert,haben
recht,rechten,rechte,rechtest,rechtet,rechtete,gerechtet,rechtete,recht,rechtet,haben
pilger,pilgern,pilgere,pilgerst,pilgert,pilgerte,gepilgert,pilgerte,pilgere,pilgert,sein
gewährleist,gewährleisten,gewährleiste,gewährleistest,gewährleistet,gewährleistete,gewährleistet,gewährleistete,gewährleist,gewährleistet,haben
changier,changieren,changiere,changierst,changiert,changierte,changiert,changierte,changier,changiert,haben
nör,nören,nöre,nörst,nört,nörte,genört,nörte,nör,nört,haben
abbagger,abbaggern,baggere ab,baggerst ab,baggert ab,baggerte ab,abgebaggert,baggerte ab,bagger ab,baggert ab,haben
thron,thronen,throne,thronst,thront,thronte,gethront,thronte,throne,thront,haben
wiederherstell,wiederherstellen,stelle wieder her,stellst wieder her,stellt wieder her,stellte wieder her,wiederhergestellt,stellte wieder her,stelle wieder her,stellt wieder her,haben
versend,versenden,versende,versendest,versendet,versandte,versandt,versendete,versende,versendet,haben
abbehalt,abbehalten,behalte ab,behältst ab,behält ab,behielt ab,abbehalten,behielte ab,behalte ab,behaltet ab,haben
abbettel,abbetteln,bettele ab,bettelst ab,bettelt ab,bettelte ab,abgebettelt,bettelte ab,bettele ab,bettelt ab,haben
abbeutel,abbeuteln,beutele ab,beutelst ab,beutelt ab,beutelte ab,abgebeutelt,beutelte ab,beutele ab,beutelt ab,haben
abbims,abbimsen,bimse ab,bimst ab,bimst ab,bimste ab,abgebimst,bimste ab,bims ab,bimst ab,haben
externalisier,externalisieren,externalisiere,externalisierst,externalisiert,externalisierte,externalisiert,externalisierte,externalisiere,externalisiert,haben
spurt,spurten,spurte,spurtest,spurtet,spurtete,gespurtet,spurtete,spurt,spurtet,haben
determinier,determinieren,determiniere,determinierst,determiniert,determinierte,determiniert,determinierte,determinier,determiniert,haben
manifestier,manifestieren,manifestiere,manifestierst,manifestiert,manifestierte,manifestiert,manifestierte,manifestiere,manifestiert,haben
definier,definieren,definiere,definierst,definiert,definierte,definiert,definierte,definiere,definiert,haben
einschieb,einschieben,schiebe ein,schiebst ein,schiebt ein,schob ein,eingeschoben,schöbe ein,schieb ein,schiebt ein,haben
beeil,beeilen,beeile,beeilst,beeilt,beeilte,beeilt,beeilte,beeile,beeilt,haben
auswert,auswerten,werte aus,wertest aus,wertet aus,wertete aus,ausgewertet,wertete aus,werte aus,wertet aus,haben
entspring,entspringen,entspringe,entspringst,entspringt,entsprang,entsprungen,entspränge,entspringe,entspringt,sein
durchfließ,durchfließen,durchfließe,durchfließt,durchfließt,durchfloss,durchflossen,durchflösse,durchfließe,durchfließt,haben
abheb,abheben,hebe ab,hebst ab,hebt ab,hob ab,abgehoben,höbe ab,heb ab,hebt ab,haben
pilotier,pilotieren,pilotiere,pilotierst,pilotiert,pilotierte,pilotiert,pilotierte,pilotiere,pilotiert,haben
auswähl,auswählen,wähle aus,wählst aus,wählt aus,wählte aus,ausgewählt,wählte aus,wähl aus,wählt aus,haben
end,enden,ende,endest,endet,endete,geendet,endete,ende,endet,haben
abtret,abtreten,trete ab,trittst ab,tritt ab,trat ab,abgetreten,träte ab,tritt ab,tretet ab,haben
bezieh,beziehen,beziehe,beziehst,bezieht,bezog,bezogen,bezöge,beziehe,bezieht,haben
erteil,erteilen,erteile,erteilst,erteilt,erteilte,erteilt,erteilte,erteil,erteilt,haben
stattfind,stattfinden,finde statt,findest statt,findet statt,fand statt,stattgefunden,fände statt,finde statt,findet statt,haben
gefall,gefallen,gefalle,gefällst,gefällt,gefiel,gefallen,gefiele,gefalle,gefallt,haben
aufstell,aufstellen,stelle auf,stellst auf,stellt auf,stellte auf,aufgestellt,stellte auf,stell auf,stellt auf,haben
instruier,instruieren,instruiere,instruierst,instruiert,instruierte,instruiert,instruierte,instruiere,instruiert,haben
anlang,anlangen,lange an,langst an,langt an,langte an,angelangt,langte an,lang an,langt an,sein
berat,beraten,berate,berätst,berät,beriet,beraten,beriete,berate,beratet,haben
präferier,präferieren,präferiere,präferierst,präferiert,präferierte,präferiert,präferierte,präferiere,präferiert,haben
befestig,befestigen,befestige,befestigst,befestigt,befestigte,befestigt,befestigte,befestige,befestigt,haben
festig,festigen,festige,festigst,festigt,festigte,gefestigt,festigte,festige,festigt,haben
zusammensetz,zusammensetzen,setze zusammen,setzt zusammen,setzt zusammen,setzte zusammen,zusammengesetzt,setzte zusammen,setz zusammen,setzt zusammen,haben
suggerier,suggerieren,suggeriere,suggerierst,suggeriert,suggerierte,suggeriert,suggerierte,suggeriere,suggeriert,haben
anordn,anordnen,ordne an,ordnest an,ordnet an,ordnete an,angeordnet,ordnete an,ordne an,ordnet an,haben
beicht,beichten,beichte,beichtest,beichtet,beichtete,gebeichtet,beichtete,beichte,beichtet,haben
fälsch,fälschen,fälsche,fälschst,fälscht,fälschte,gefälscht,fälschte,fälsche,fälscht,haben
entlohn,entlohnen,entlohne,entlohnst,entlohnt,entlohnte,entlohnt,entlohnte,entlohne,entlohnt,haben
schluck,schlucken,schlucke,schluckst,schluckt,schluckte,geschluckt,schluckte,schlucke,schluckt,haben
einbau,einbauen,baue ein,baust ein,baut ein,baute ein,eingebaut,baute ein,bau ein,baut ein,haben
resultier,resultieren,resultiere,resultierst,resultiert,resultierte,resultiert,resultierte,resultiere,resultiert,haben
straf,strafen,strafe,strafst,straft,strafte,gestraft,strafte,strafe,straft,haben
desachalandier,desachalandieren,desachalandiere,desachalandierst,desachalandiert,desachalandierte,desachalandiert,desachalandierte,desachalandiere,desachalandiert,haben
bericht,berichten,berichte,berichtest,berichtet,berichtete,berichtet,berichtete,berichte,berichtet,haben
gewähr,gewähren,gewähre,gewährst,gewährt,gewährte,gewährt,gewährte,gewähre,gewährt,haben
zurückgeh,zurückgehen,gehe zurück,gehst zurück,geht zurück,ging zurück,zurückgegangen,ginge zurück,geh zurück,geht zurück,sein
verborg,verborgen,verborge,verborgst,verborgt,verborgte,verborgt,verborgte,verborg,verborgt,haben
ankündig,ankündigen,kündige an,kündigst an,kündigt an,kündigte an,angekündigt,kündigte an,kündige an,kündigt an,haben
anfertig,anfertigen,fertige an,fertigst an,fertigt an,fertigte an,angefertigt,fertigte an,fertige an,fertigt an,haben
fertig,fertigen,fertige,fertigst,fertigt,fertigte,gefertigt,fertigte,fertig,fertigt,haben
vorleg,vorlegen,lege vor,legst vor,legt vor,legte vor,vorgelegt,legte vor,leg vor,legt vor,haben
beeinfluss,beeinflussen,beeinflusse,beeinflusst,beeinflusst,beeinflusste,beeinflusst,beeinflusste,beeinflusse,beeinflusst,haben
wullack,wullacken,wullacke,wullackst,wullackt,wullackte,gewullackt,wullackte,wullacke,wullackt,haben
böller,böllern,böllere,böllerst,böllert,böllerte,geböllert,böllerte,böllere,böllert,haben
schuft,schuften,schufte,schuftest,schuftet,schuftete,geschuftet,schuftete,schufte,schuftet,haben
forsch,forschen,forsche,forschst,forscht,forschte,geforscht,forschte,forsche,forscht,haben
herrsch,herrschen,herrsche,herrschst,herrscht,herrschte,geherrscht,herrschte,herrsche,herrscht,haben
ausbleib,ausbleiben,bleibe aus,bleibst aus,bleibt aus,blieb aus,ausgeblieben,bliebe aus,bleib aus,bleibt aus,sein
wurack,wuracken,wuracke,wurackst,wurackt,wurackte,gewurackt,wurackte,wuracke,wurackt,haben
beherrsch,beherrschen,beherrsche,beherrschst,beherrscht,beherrschte,beherrscht,beherrschte,beherrsche,beherrscht,haben
gründ,gründen,gründe,gründest,gründet,gründete,gegründet,gründete,gründ,gründet,haben
begründ,begründen,begründe,begründest,begründet,begründete,begründet,begründete,begründe,begründet,haben
zugeb,zugeben,gebe zu,gibst zu,gibt zu,gab zu,zugegeben,gäbe zu,gib zu,gebt zu,haben
aufbau,aufbauen,baue auf,baust auf,baut auf,baute auf,aufgebaut,baute auf,baue auf,bauet auf,haben
stagnier,stagnieren,stagniere,stagnierst,stagniert,stagnierte,stagniert,stagnierte,stagniere,stagniert,haben
duplizier,duplizieren,dupliziere,duplizierst,dupliziert,duplizierte,dupliziert,duplizierte,duplizier,dupliziert,haben
randomisier,randomisieren,randomisiere,randomisierst,randomisiert,randomisierte,randomisiert,randomisierte,randomisiere,randomisiert,haben
differenzier,differenzieren,differenziere,differenzierst,differenziert,differenzierte,differenziert,differenzierte,differenziere,differenziert,haben
dementier,dementieren,dementiere,dementierst,dementiert,dementierte,dementiert,dementierte,dementiere,dementiert,haben
korrespondier,korrespondieren,korrespondiere,korrespondierst,korrespondiert,korrespondierte,korrespondiert,korrespondierte,korrespondiere,korrespondiert,haben
ratifizier,ratifizieren,ratifiziere,ratifizierst,ratifiziert,ratifizierte,ratifiziert,ratifizierte,ratifiziere,ratifiziert,haben
alarmier,alarmieren,alarmiere,alarmierst,alarmiert,alarmierte,alarmiert,alarmierte,alarmier,alarmiert,haben
schmeichel,schmeicheln,schmeichle,schmeichelst,schmeichelt,schmeichelte,geschmeichelt,schmeichelte,schmeichle,schmeichelt,haben
informier,informieren,informiere,informierst,informiert,informierte,informiert,informierte,informiere,informiert,haben
agitier,agitieren,agitiere,agitierst,agitiert,agitierte,agitiert,agitierte,agitiere,agitiert,haben
editier,editieren,editiere,editierst,editiert,editierte,editiert,editierte,editiere,editiert,haben
etablier,etablieren,etabliere,etablierst,etabliert,etablierte,etabliert,etablierte,etablier,etabliert,haben
wahr,wahren,wahre,wahrst,wahrt,wahrte,gewahrt,wahrte,wahre,wahrt,haben
edier,edieren,ediere,edierst,ediert,edierte,ediert,edierte,ediere,ediert,haben
ramifizier,ramifizieren,ramifiziere,ramifizierst,ramifiziert,ramifizierte,ramifiziert,ramifizierte,ramifiziere,ramifiziert,haben
extrahier,extrahieren,extrahiere,extrahierst,extrahiert,extrahierte,extrahiert,extrahierte,extrahiere,extrahiert,haben
bibber,bibbern,bibbere,bibberst,bibbert,bibberte,gebibbert,bibberte,bibbere,bibbert,haben
elidier,elidieren,elidiere,elidierst,elidiert,elidierte,elidiert,elidierte,elidier,elidiert,haben
publizier,publizieren,publiziere,publizierst,publiziert,publizierte,publiziert,publizierte,publiziere,publiziert,haben
verort,verorten,verorte,verortest,verortet,verortete,verortet,verortete,verort,verortet,haben
versetz,versetzen,versetze,versetzt,versetzt,versetzte,versetzt,versetzte,versetze,versetzt,haben
erwahr,erwahren,erwahre,erwahrst,erwahrt,erwahrte,erwahrt,erwahrte,erwahr,erwahrt,haben
deaktivier,deaktivieren,deaktiviere,deaktivierst,deaktiviert,deaktivierte,deaktiviert,deaktivierte,deaktiviere,deaktiviert,haben
servier,servieren,serviere,servierst,serviert,servierte,serviert,servierte,servier,serviert,haben
pauschalisier,pauschalisieren,pauschalisiere,pauschalisierst,pauschalisiert,pauschalisierte,pauschalisiert,pauschalisierte,pauschalisiere,pauschalisiert,haben
absolvier,absolvieren,absolviere,absolvierst,absolviert,absolvierte,absolviert,absolvierte,absolviere,absolviert,haben
amortisier,amortisieren,amortisiere,amortisierst,amortisiert,amortisierte,amortisiert,amortisierte,amortisiere,amortisiert,haben
engagier,engagieren,engagiere,engagierst,engagiert,engagierte,engagiert,engagierte,engagiere,engagiert,haben
arrangier,arrangieren,arrangiere,arrangierst,arrangiert,arrangierte,arrangiert,arrangierte,arrangiere,arrangiert,haben
vorgeh,vorgehen,gehe vor,gehst vor,geht vor,ging vor,vorgegangen,ginge vor,geh vor,geht vor,sein
berechn,berechnen,berechne,berechnest,berechnet,berechnete,berechnet,berechnete,berechne,berechnet,haben
opponier,opponieren,opponiere,opponierst,opponiert,opponierte,opponiert,opponierte,opponiere,opponiert,haben
komponier,komponieren,komponiere,komponierst,komponiert,komponierte,komponiert,komponierte,komponiere,komponiert,haben
reponier,reponieren,reponiere,reponierst,reponiert,reponierte,reponiert,reponierte,reponier,reponiert,haben
supponier,supponieren,supponiere,supponierst,supponiert,supponierte,supponiert,supponierte,supponier,supponiert,haben
anvisier,anvisieren,visiere an,visierst an,visiert an,visierte an,anvisiert,visierte an,visiere an,visiert an,haben
ersetz,ersetzen,ersetze,ersetzt,ersetzt,ersetzte,ersetzt,ersetzte,ersetze,ersetzt,haben
komprimier,komprimieren,komprimiere,komprimierst,komprimiert,komprimierte,komprimiert,komprimierte,komprimiere,komprimiert,haben
begreif,begreifen,begreife,begreifst,begreift,begriff,begriffen,begriffe,begreife,begreift,haben
aussetz,aussetzen,setze aus,setzt aus,setzt aus,setzte aus,ausgesetzt,setzte aus,setz aus,setzt aus,haben
sorg,sorgen,sorge,sorgst,sorgt,sorgte,gesorgt,sorgte,sorg,sorgt,haben
umsorg,umsorgen,umsorge,umsorgst,umsorgt,umsorgte,umsorgt,umsorgte,umsorge,umsorgt,haben
entsorg,entsorgen,entsorge,entsorgst,entsorgt,entsorgte,entsorgt,entsorgte,entsorg,entsorgt,haben
besorg,besorgen,besorge,besorgst,besorgt,besorgte,besorgt,besorgte,besorge,besorgt,haben
vorsorg,vorsorgen,sorge vor,sorgst vor,sorgt vor,sorgte vor,vorgesorgt,sorgte vor,sorg vor,sorgt vor,haben
bewirk,bewirken,bewirke,bewirkst,bewirkt,bewirkte,bewirkt,bewirkte,bewirk,bewirkt,haben
miet,mieten,miete,mietest,mietet,mietete,gemietet,mietete,miete,mietet,haben
